Time,Current,State
0.0,0.0,0
0.001,0.0,0
0.002,2.0,2
0.003,2.0,2
0.004,2.0,2
0.005,2.0,2
0.006,2.0,2
0.007,2.0,2
0.008,0.0,0
0.009000000000000001,0.0,0
0.01,0.0,0
0.011,0.0,0
0.012,0.0,0
0.013000000000000001,0.0,0
0.014,0.0,0
0.015,0.0,0
0.016,0.0,0
0.017,0.0,0
0.018000000000000002,0.0,0
0.019,0.0,0
0.02,0.0,0
0.021,0.0,0
0.022,0.0,0
0.023,0.0,0
0.024,0.0,0
0.025,0.0,0
0.026000000000000002,0.0,0
0.027,0.0,0
0.028,0.0,0
0.029,0.0,0
0.03,0.0,0
0.031,0.0,0
0.032,0.0,0
0.033,0.0,0
0.034,0.0,0
0.035,0.0,0
0.036000000000000004,0.0,0
0.037,0.0,0
0.038,2.0,2
0.039,2.0,2
0.04,1.0,1
0.041,1.0,1
0.042,0.0,0
0.043000000000000003,0.0,0
0.044,0.0,0
0.045,0.0,0
0.046,0.0,0
0.047,0.0,0
0.048,0.0,0
0.049,0.0,0
0.05,0.0,0
0.051000000000000004,0.0,0
0.052000000000000005,0.0,0
0.053,1.0,1
0.054,1.0,1
0.055,1.0,1
0.056,1.0,1
0.057,1.0,1
0.058,1.0,1
0.059000000000000004,1.0,1
0.06,1.0,1
0.061,1.0,1
0.062,0.0,0
0.063,2.0,2
0.064,2.0,2
0.065,2.0,2
0.066,2.0,2
0.067,2.0,2
0.068,0.0,0
0.069,1.0,1
0.07,0.0,0
0.07100000000000001,0.0,0
0.07200000000000001,0.0,0
0.073,0.0,0
0.074,0.0,0
0.075,1.0,1
0.076,1.0,1
0.077,1.0,1
0.078,0.0,0
0.079,1.0,1
0.08,1.0,1
0.081,0.0,0
0.082,0.0,0
0.083,0.0,0
0.084,0.0,0
0.085,0.0,0
0.08600000000000001,0.0,0
0.08700000000000001,0.0,0
0.088,0.0,0
0.089,0.0,0
0.09,0.0,0
0.091,0.0,0
0.092,0.0,0
0.093,0.0,0
0.094,0.0,0
0.095,0.0,0
0.096,0.0,0
0.097,0.0,0
0.098,0.0,0
0.099,0.0,0
0.1,0.0,0
0.101,0.0,0
0.10200000000000001,0.0,0
0.10300000000000001,0.0,0
0.10400000000000001,0.0,0
0.105,0.0,0
0.106,0.0,0
0.107,0.0,0
0.108,2.0,2
0.109,2.0,2
0.11,2.0,2
0.111,2.0,2
0.112,2.0,2
0.113,2.0,2
0.114,0.0,0
0.115,0.0,0
0.116,2.0,2
0.117,2.0,2
0.11800000000000001,2.0,2
0.11900000000000001,1.0,1
0.12,0.0,0
0.121,0.0,0
0.122,0.0,0
0.123,0.0,0
0.124,0.0,0
0.125,0.0,0
0.126,0.0,0
0.127,0.0,0
0.128,0.0,0
0.129,0.0,0
0.13,0.0,0
0.131,0.0,0
0.132,0.0,0
0.133,0.0,0
0.134,0.0,0
0.135,0.0,0
0.136,0.0,0
0.137,0.0,0
0.138,0.0,0
0.139,0.0,0
0.14,0.0,0
0.14100000000000001,0.0,0
0.14200000000000002,0.0,0
0.14300000000000002,0.0,0
0.14400000000000002,0.0,0
0.145,0.0,0
0.146,0.0,0
0.147,0.0,0
0.148,0.0,0
0.149,0.0,0
0.15,0.0,0
0.151,0.0,0
0.152,0.0,0
0.153,1.0,1
0.154,1.0,1
0.155,0.0,0
0.156,0.0,0
0.157,0.0,0
0.158,0.0,0
0.159,0.0,0
0.16,2.0,2
0.161,2.0,2
0.162,2.0,2
0.163,2.0,2
0.164,2.0,2
0.165,2.0,2
0.166,0.0,0
0.167,2.0,2
0.168,2.0,2
0.169,0.0,0
0.17,0.0,0
0.171,0.0,0
0.17200000000000001,0.0,0
0.17300000000000001,2.0,2
0.17400000000000002,2.0,2
0.17500000000000002,0.0,0
0.176,0.0,0
0.177,0.0,0
0.178,0.0,0
0.179,0.0,0
0.18,0.0,0
0.181,0.0,0
0.182,0.0,0
0.183,0.0,0
0.184,0.0,0
0.185,0.0,0
0.186,0.0,0
0.187,0.0,0
0.188,0.0,0
0.189,0.0,0
0.19,0.0,0
0.191,0.0,0
0.192,0.0,0
0.193,0.0,0
0.194,0.0,0
0.195,0.0,0
0.196,0.0,0
0.197,0.0,0
0.198,0.0,0
0.199,0.0,0
0.2,0.0,0
0.201,0.0,0
0.202,0.0,0
0.203,0.0,0
0.20400000000000001,0.0,0
0.20500000000000002,0.0,0
0.20600000000000002,0.0,0
0.20700000000000002,0.0,0
0.20800000000000002,0.0,0
0.209,0.0,0
0.21,0.0,0
0.211,0.0,0
0.212,0.0,0
0.213,0.0,0
0.214,0.0,0
0.215,0.0,0
0.216,0.0,0
0.217,0.0,0
0.218,0.0,0
0.219,0.0,0
0.22,0.0,0
0.221,1.0,1
0.222,0.0,0
0.223,1.0,1
0.224,1.0,1
0.225,1.0,1
0.226,0.0,0
0.227,0.0,0
0.228,0.0,0
0.229,0.0,0
0.23,0.0,0
0.231,0.0,0
0.232,0.0,0
0.233,0.0,0
0.234,0.0,0
0.23500000000000001,0.0,0
0.23600000000000002,0.0,0
0.23700000000000002,0.0,0
0.23800000000000002,0.0,0
0.23900000000000002,0.0,0
0.24,0.0,0
0.241,0.0,0
0.242,0.0,0
0.243,0.0,0
0.244,0.0,0
0.245,0.0,0
0.246,0.0,0
0.247,0.0,0
0.248,1.0,1
0.249,0.0,0
0.25,0.0,0
0.251,0.0,0
0.252,0.0,0
0.253,0.0,0
0.254,0.0,0
0.255,0.0,0
0.256,0.0,0
0.257,0.0,0
0.258,0.0,0
0.259,0.0,0
0.26,0.0,0
0.261,0.0,0
0.262,0.0,0
0.263,0.0,0
0.264,0.0,0
0.265,2.0,2
0.266,2.0,2
0.267,2.0,2
0.268,0.0,0
0.269,2.0,2
0.27,2.0,2
0.271,0.0,0
0.272,0.0,0
0.273,2.0,2
0.274,2.0,2
0.275,2.0,2
0.276,2.0,2
0.277,0.0,0
0.278,0.0,0
0.279,0.0,0
0.28,0.0,0
0.281,0.0,0
0.28200000000000003,0.0,0
0.28300000000000003,0.0,0
0.28400000000000003,0.0,0
0.28500000000000003,0.0,0
0.28600000000000003,0.0,0
0.28700000000000003,0.0,0
0.28800000000000003,0.0,0
0.289,0.0,0
0.29,0.0,0
0.291,1.0,1
0.292,0.0,0
0.293,0.0,0
0.294,0.0,0
0.295,0.0,0
0.296,0.0,0
0.297,0.0,0
0.298,0.0,0
0.299,0.0,0
0.3,0.0,0
0.301,1.0,1
0.302,0.0,0
0.303,0.0,0
0.304,0.0,0
0.305,0.0,0
0.306,0.0,0
0.307,0.0,0
0.308,1.0,1
0.309,0.0,0
0.31,0.0,0
0.311,0.0,0
0.312,0.0,0
0.313,0.0,0
0.314,0.0,0
0.315,0.0,0
0.316,0.0,0
0.317,0.0,0
0.318,0.0,0
0.319,0.0,0
0.32,0.0,0
0.321,2.0,2
0.322,2.0,2
0.323,2.0,2
0.324,2.0,2
0.325,2.0,2
0.326,0.0,0
0.327,0.0,0
0.328,0.0,0
0.329,0.0,0
0.33,0.0,0
0.331,1.0,1
0.332,1.0,1
0.333,0.0,0
0.334,0.0,0
0.335,0.0,0
0.336,0.0,0
0.337,0.0,0
0.338,0.0,0
0.339,0.0,0
